start,end,id,capacity,length,speed,startlat,startlon,endlat,endlon
36,37,230586048,1,13.703226,45,42.36773,-71.08595,42.367607,-71.085976
37,38,230586048,1,14.1235075,45,42.368275,-71.08583,42.36815,-71.08585
38,39,8615871,34,256.5496,45,42.37236,-71.08462,42.371956,-71.08154
39,40,180993492,1,11.408831,45,42.369232,-71.08733,42.369247,-71.08747
40,41,81048842,4,31.203272,45,42.368935,-71.0858,42.368885,-71.08543
41,42,8615300,85,643.033,45,42.36666,-71.085945,42.37236,-71.08462
42,43,200502734,51,386.15216,45,42.371914,-71.086876,42.368496,-71.08771
43,44,8614907,10,78.65163,45,42.371284,-71.08757,42.37198,-71.08739
44,45,8615391,30,231.70471,45,42.369766,-71.08662,42.37182,-71.08613
45,46,8616130,48,363.12933,45,42.367817,-71.08228,42.371037,-71.08154
46,47,8615080,1,7.5,45,42.36666,-71.088165,42.366688,-71.08815
47,48,8615080,27,204.31914,45,42.366688,-71.08815,42.368496,-71.08771
48,49,8605680,1,9.938575,45,42.36666,-71.0819,42.366703,-71.08201
49,50,158303666,1,7.5,45,42.366703,-71.08201,42.36671,-71.08205
50,51,8615283,63,473.02158,45,42.36666,-71.079575,42.370853,-71.0786
51,52,93305706,7,53.663998,45,42.370556,-71.07633,42.3704,-71.075714
52,53,93305706,5,43.425087,45,42.3704,-71.075714,42.370186,-71.07527
53,54,93305706,17,132.31909,45,42.369747,-71.074066,42.37037,-71.07544
54,55,93305706,7,58.40201,45,42.37037,-71.07544,42.37057,-71.076096
55,56,139154955,12,97.08848,45,42.369236,-71.07305,42.369984,-71.07244
